"","species","centroid.distance","I.obs","I.res.s","I.res.w","p.similar","migStatus"
"294","Oxypogon guerinii",NA,NA,NA,NA,NA,"1"
"295","Oxypogon lindenii",NA,NA,NA,NA,NA,"1"
"296","Oxypogon stuebelii",NA,NA,NA,NA,NA,"1"
"297","Panterpe insignis",14001.1318709383,0.561724423913774,0.52641028939567,0.505386403591038,0.0792079207920792,"1"
"298","Patagona gigas",1367336.79149278,0.383577052731578,0.553395407557252,0.502985321289686,0.336633663366337,"2"
"299","Phaeochroa cuvierii",145902.559259944,0.664682437775332,0.681034547406971,0.684149980152425,0.0198019801980198,NA
"300","Phaethornis aethopygus",NA,NA,NA,NA,NA,"1"
"301","Phaethornis anthophilus",76796.9179564628,0.56754789492187,0.594848301558206,0.611656405985969,0.0198019801980198,"1"
"302","Phaethornis atrimentalis",79889.6944630524,0.609621542923586,0.626166646665611,0.643879123750186,0.0198019801980198,"1"
"303","Phaethornis augusti",151469.528754654,0.628229295554259,0.593187573966991,0.569425499229768,0.0198019801980198,"1"
"304","Phaethornis baroni",NA,NA,NA,NA,NA,"1"
"305","Phaethornis bourcieri",388272.082863562,0.448564819286122,0.537254540305208,0.624852655677494,0.0198019801980198,"1"
"306","Phaethornis eurynome",36063.6547747143,0.565622710176142,0.502290085649212,0.584256488727718,0.376237623762376,"1"
"307","Phaethornis griseogularis",137857.265149972,0.50397695574112,0.518881795486803,0.504842280889261,0.0198019801980198,"1"
"308","Phaethornis guy",162812.07960552,0.528914035214834,0.556011014335059,0.496681027253808,0.0198019801980198,"1"
"309","Phaethornis hispidus",503964.485114293,0.46735973235026,0.432805848055779,0.650100603408118,0.0198019801980198,"1"
"310","Phaethornis idaliae",NA,NA,NA,NA,NA,"1"
"311","Phaethornis koepckeae",16564.3915901008,0.390845779011414,0.398570779999811,0.389618036299794,0.376237623762376,"1"
"312","Phaethornis longirostris",51859.0018041461,0.686096437740972,0.712411563851164,0.689214165825853,0.0198019801980198,"1"
"313","Phaethornis longuemareus",520695.493831038,0.599072568999081,0.648185388494377,0.659613211969693,0.0198019801980198,"1"
"314","Phaethornis malaris",399179.184340747,0.599066747325619,0.53461998590532,0.686777045813757,0.0198019801980198,"1"
"315","Phaethornis mexicanus",NA,NA,NA,NA,NA,"1"
"316","Phaethornis nattereri",NA,NA,NA,NA,NA,"1"
"317","Phaethornis philippii",NA,NA,NA,NA,NA,"1"
"318","Phaethornis porcullae",NA,NA,NA,NA,NA,"1"
"319","Phaethornis pretrei",655740.99872234,0.492825830609861,0.459268284852587,0.473439732762758,0.0198019801980198,"1"
"320","Phaethornis ruber",729318.196825767,0.678889867604311,0.545585155478034,0.778544841348287,0.0198019801980198,"1"
"321","Phaethornis rupurumii",NA,NA,NA,NA,NA,"1"
"322","Phaethornis squalidus",NA,NA,NA,NA,NA,"1"
"323","Phaethornis striigularis",28596.2198166448,0.715127606979383,0.721916571854151,0.717152853529066,0.0198019801980198,"1"
"324","Phaethornis stuarti",NA,NA,NA,NA,NA,"1"
"325","Phaethornis subochraceus",NA,NA,NA,NA,NA,"1"
"326","Phaethornis superciliosus",545724.51768844,0.634379242357238,0.657636952248961,0.648749974150945,0.0198019801980198,"1"
"327","Phaethornis syrmatophorus",65964.0466199178,0.783753602765541,0.828425220610592,0.700146884179933,0.0198019801980198,"1"
"328","Phaethornis yaruqui",5766.30113264658,0.651984986712802,0.686083835441276,0.750966238733301,0.0198019801980198,"1"
"329","Phlogophilus harterti",NA,NA,NA,NA,NA,"1"
"330","Phlogophilus hemileucurus",NA,NA,NA,NA,NA,"1"
"331","Polyonymus caroli",41683.8179433803,0.612539603652159,0.65726865081204,0.626982533760646,0.138613861386139,"1"
"332","Polytmus guainumbi",343387.112709565,0.571263075418567,0.556240092292798,0.584898530159188,0.0198019801980198,"1"
"333","Polytmus milleri",NA,NA,NA,NA,NA,"1"
"334","Polytmus theresiae",NA,NA,NA,NA,NA,"1"
